Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,eux,them
16,16,ville,city
17,17,chaque,each
19,19,arrivé,come
20,20,devrait,should
21,21,bébé,baby
22,22,longtemps,long time
23,23,heures,hours
25,25,pendant,while
26,26,revoir,meet again
27,27,aucune,any
29,29,parle,speak
30,30,compris,understood
31,31,savais,knew
33,33,attention,Warning
34,34,voici,here is
35,35,pourrais,could
36,37,donner,give
37,38,type,type
38,39,leurs,their
39,40,donné,given
40,41,train,train
41,42,corps,body
42,43,endroit,place
43,44,yeux,eyes
44,45,façon,way
45,46,écoute,listen
46,47,dont,whose
47,48,trouve,find
48,49,premier,first
50,51,première,first
51,52,côté,side
52,53,pouvoir,power
53,54,vieux,old
54,55,sois,be
56,57,matin,morning
57,58,tellement,so much
58,59,enfant,child
59,60,point,point
60,61,venu,came
61,62,suite,after
62,63,pardon,sorry
64,65,devant,in front of
65,66,vers,towards
66,67,minutes,minutes
67,69,chambre,bedroom
68,70,mis,placed
69,71,belle,beautiful
70,72,droit,law
71,73,aimerais,would like to
72,74,aujourd'hui,today
73,75,mari,husband
74,77,enfin,finally
75,78,espère,hope
76,79,eau,water
77,80,attendez,Wait
79,82,nouvelle,new
80,83,boulot,job
81,84,arrêter,Stop
82,85,dirait,would say
83,86,terre,Earth
84,87,compte,account
85,88,donne,given
86,89,loin,far
87,90,fin,end
88,91,croire,believe
89,92,chérie,sweetheart
90,93,gros,large
91,94,plutôt,rather
92,95,aura,will have
93,97,jouer,to play
94,98,bureau,office
